hang,mau,nam,so_km,dong_co,so_cho,gia_vnd,mau_xe,tinh_trang,loai_dong_co
Mazda,6 Premium 2.0 AT,2020,75000,máy xăng 2.0 L,5,655000000,xanh,Xe cũ,Xăng
Hyundai,Elantra N-Line 1.6 Turbo AT,2023,50000,máy xăng 1.6 L,5,678000000,đỏ,Xe cũ,Xăng
Toyota,Vios 1.5G,2017,10500,máy xăng 1.5 L,5,363000000,trắng,Xe cũ,Xăng
Kia,Carnival Signature 2.2D,2022,61000,máy dầu 2.2 L,7,1245000000,đen,Xe cũ,Dầu
LandRover,Range Rover HSE 3.0,2013,,máy xăng 3.0 L,5,2230000000,đen,Xe cũ,Xăng
Ford,EcoSport Titanium 1.5L AT,2015,98000,máy xăng 1.5 L,5,390000000,xám,Xe cũ,Xăng
VinFast,Lux A 2.0 Premium 2.0 AT,2019,59000,máy xăng 2.0 L,5,599000000,trắng,Xe cũ,Xăng
Toyota,Innova V,2010,120000,máy xăng 2.0 L,8,255000000,bạc,Xe cũ,Xăng
Mitsubishi,Xpander Premium 1.5 AT,2023,40000,máy xăng 1.5 L,7,590000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E250,2009,170000,máy xăng 1.8 L,5,330000000,ghi,Xe cũ,Xăng
Mazda,CX5 2.0 Premium,2020,66789,máy xăng 2.0 L,5,715000000,đỏ,Xe cũ,Xăng
Toyota,Vios 1.5G,2018,,máy xăng 1.5 L,5,395000000,cát,Xe cũ,Xăng
Ford,Ranger Wildtrak 2.0L 4x4 AT,2022,45000,máy dầu 2.0 L,5,780000000,đen,Xe cũ,Dầu
Mitsubishi,Xpander Premium 1.5 AT,2024,,máy xăng 1.5 L,7,625000000,trắng,Xe cũ,Xăng
Mazda,CX5 Luxury 2.0 AT,2024,11000,máy xăng 2.0 L,5,815000000,xanh,Xe cũ,Xăng
Nissan,Terra V 2.5 AT 4WD,2018,90000,máy xăng 2.5 L,7,665000000,nâu,Xe cũ,Xăng
Honda,City 1.5 MT,2017,,máy xăng 1.5 L,5,295000000,trắng,Xe cũ,Xăng
Mazda,3 1.5L Premium,2022,50000,máy xăng 1.5 L,5,619000000,trắng,Xe cũ,Xăng
Ford,Focus S 2.0 AT,2015,81000,máy xăng 2.0 L,5,310000000,trắng,Xe cũ,Xăng
Honda,CRV L,2020,60000,máy xăng 1.5 L,7,815000000,đỏ,Xe cũ,Xăng
Honda,CRV L,2020,60000,máy xăng 1.5 L,7,815000000,đỏ,Xe cũ,Xăng
BMW,X4 xDrive28i,2016,60000,máy xăng 2.0 L,5,990000000,xanh,Xe cũ,Xăng
Honda,City RS 1.5 AT,2022,39000,máy xăng 1.5 L,5,510000000,xám,Xe cũ,Xăng
Chevrolet,Spark Van 1.0 AT,2011,110000,máy xăng 1.0 L,2,99000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 200 4Matic,2022,60000,máy xăng 2.0 L,5,1679000000,trắng,Xe cũ,Xăng
Toyota,Raize G 1.0 CVT,2023,11000,máy xăng 1.0 L,5,520000000,đen,Xe cũ,Xăng
Toyota,Fortuner 2.5G,2016,80000,máy dầu 2.5 L,7,565000000,bạc,Xe cũ,Dầu
Mercedes,Benz GLC 300 4Matic,2017,,máy xăng 2.0 L,5,999000000,trắng,Xe cũ,Xăng
Audi,Q7 2.0 AT,2017,96000,máy xăng 2.0 L,7,1419000000,đen,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x2 AT,2022,48000,máy dầu 2.0 L,7,1179000000,bạc,Xe cũ,Dầu
BMW,7 Series 750Li,2011,,máy xăng 4.4 L,5,680000000,đen,Xe cũ,Xăng
Ford,Ranger XLS 2.2L 4x2 AT,2017,140000,máy dầu 2.2 L,5,455000000,trắng,Xe cũ,Dầu
Mitsubishi,Xpander Premium 1.5 AT,2023,45000,máy xăng 1.5 L,7,595000000,trắng,Xe cũ,Xăng
Mazda,3 1.5 AT,2018,83000,máy xăng 1.5 L,5,447000000,trắng,Xe cũ,Xăng
Ford,Ranger Raptor 2.0L 4x4 AT,2022,68000,máy dầu 2.0 L,5,959000000,đen,Xe cũ,Dầu
Hyundai,Accent 1.4 AT Đặc Biệt,2023,18000,máy xăng 1.4 L,5,485000000,trắng,Xe cũ,Xăng
Peugeot,3008 GT,2022,23000,máy xăng 1.6 L,5,899000000,trắng,Xe cũ,Xăng
Ford,EcoSport Titanium 1.5L AT,2020,75000,máy xăng 1.5 L,5,450000000,trắng,Xe cũ,Xăng
Hyundai,Kona 2.0 ATH,2019,24000,máy xăng 2.0 L,5,505000000,vàng,Xe cũ,Xăng
Toyota,Innova G,2008,46000,máy xăng 2.0 L,8,260000000,bạc,Xe cũ,Xăng
Mercedes,Benz GLK Class GLK250 4Matic,2014,96000,máy xăng 2.0 L,5,565000000,bạc,Xe cũ,Xăng
Chevrolet,Lacetti 1.6,2012,215686,máy xăng 1.6 L,5,98000000,đen,Xe cũ,Xăng
Kia,Seltos Premium 1.6 AT,2020,27000,máy xăng 1.6 L,5,569000000,vàng,Xe cũ,Xăng
Mazda,CX5 2.5 AT 2WD,2019,85000,máy xăng 2.5 L,5,650000000,đỏ,Xe cũ,Xăng
Honda,HRV L,2019,70000,máy xăng 1.8 L,5,565000000,trắng,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x2 AT,2021,20000,máy dầu 2.0 L,7,925000000,đen,Xe cũ,Dầu
Mercedes,Benz C class C200 Avantgarde Plus,2022,9999,máy xăng 1.5 L,5,1459000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E180,2023,36,máy xăng 1.5 L,5,2000000000,đen,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x2 AT,2020,92000,máy dầu 2.0 L,7,899000000,đen,Xe cũ,Dầu
Mazda,3 1.5L Premium,2021,52000,máy xăng 1.5 L,5,575000000,xanh,Xe cũ,Xăng
Toyota,Corolla altis 2.0V,2010,123333,máy xăng 2.0 L,5,310000000,vàng,Xe cũ,Xăng
Honda,CRV 2.0 AT,2014,122222,máy xăng 2.0 L,5,449000000,bạc,Xe cũ,Xăng
Mazda,CX8 Luxury,2019,67000,máy xăng 2.5 L,7,765000000,trắng,Xe cũ,Xăng
Toyota,Innova 2.0G,2014,,máy xăng 2.0 L,8,328000000,cát,Xe cũ,Xăng
Kia,K3 Premium 2.0 AT,2022,48000,máy xăng 2.0 L,5,565000000,đỏ,Xe cũ,Xăng
Mazda,CX5 2.5 AT AWD,2018,60000,máy xăng 2.5 L,5,610000000,trắng,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2020,64000,máy xăng 2.0 L,5,1169000000,đen,Xe cũ,Xăng
Mercedes,Benz E class E200 Exclusive,2021,27290,máy xăng 2.0 L,5,1697000000,đen,Xe cũ,Xăng
Kia,Sportage Signature 1.6T AWD,2024,8000,máy xăng 1.6 L,5,1015000000,đỏ,Xe cũ,Xăng
BMW,5 Series 520i,2012,99999,máy xăng 2.0 L,5,630000000,đen,Xe cũ,Xăng
Honda,CRV 2.4 AT,2015,960000,máy xăng 2.4 L,5,525000000,xám,Xe cũ,Xăng
Scion,Xb 2.4 AT,2007,,máy xăng 2.4 L,5,555000000,trắng,Xe cũ,Xăng
Chevrolet,Trailblazer LTZ 2.5L VGT 4x4 AT,2019,55000,máy dầu 2.5 L,7,669000000,xám,Xe cũ,Dầu
Mercedes,Benz C class C200 Exclusive,2021,27000,máy xăng 2.0 L,5,1155000000,đen,Xe cũ,Xăng
Toyota,Camry 2.0G,2020,59000,máy xăng 2.0 L,5,795000000,đen,Xe cũ,Xăng
LandRover,Range Rover Autobiography LWB 3.0 I6 P360 AWD,2022,30000,máy xăng 3.0 L,5,11500000000,trắng,Xe cũ,Xăng
Kia,Morning EX,2013,,máy xăng 1.25 L,5,136000000,trắng,Xe cũ,Xăng
Audi,A5 Sportback 2.0,2017,70000,máy xăng 2.0 L,5,1080000000,đỏ,Xe cũ,Xăng
Lexus,RX 350,2007,110000,máy xăng 3.5 L,5,430000000,đen,Xe cũ,Xăng
Volkswagen,Routan SE 3.8 AT,2010,115000,máy xăng 3.8 L,7,250000000,đen,Xe cũ,Xăng
Mitsubishi,Pajero Sport 2.4D 4x2 AT,2021,90000,máy dầu 2.4 L,7,800000000,trắng,Xe cũ,Dầu
Mercedes,Benz E class E200 Exclusive,2022,28000,máy xăng 2.0 L,5,1598000000,đỏ,Xe cũ,Xăng
Toyota,Innova G,2007,190000,máy xăng 2.0 L,8,165000000,bạc,Xe cũ,Xăng
Hyundai,i30 CW 1.6 AT,2011,138968,máy xăng 1.6 L,5,275000000,ghi,Xe cũ,Xăng
Honda,CRV 2.4 AT - TG,2017,,máy xăng 2.4 L,5,595000000,nâu,Xe cũ,Xăng
LandRover,Range Rover HSE 3.0,2018,,máy xăng 3.0 L,5,4890000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic Coupe,2022,30000,máy xăng 2.0 L,5,2499000000,đen,Xe cũ,Xăng
Toyota,Innova G,2010,120000,máy xăng 2.0 L,8,200000000,bạc,Xe cũ,Xăng
Mercedes,Benz GLC 300 4Matic,2024,50,máy xăng 2.0 L,5,2599000000,đen,Xe cũ,Xăng
Hyundai,i10 Grand 1.2 MT,2019,86140,máy xăng 1.25 L,5,270000000,trắng,Xe cũ,Xăng
Ford,Ranger Wildtrak 2.0L 4x2 AT,2019,96000,máy dầu 2.0 L,5,585000000,xám,Xe cũ,Dầu
Mercedes,Benz GLC 200 4Matic,2021,80000,máy xăng 2.0 L,5,1550000000,trắng,Xe cũ,Xăng
Hyundai,SantaFe Cao cấp 2.2L HTRAC,2021,,máy dầu 2.2 L,7,1099000000,xanh,Xe cũ,Dầu
Hyundai,SantaFe Cao cấp 2.4L HTRAC,2021,,máy xăng 2.4 L,7,830000000,trắng,Xe cũ,Xăng
Hyundai,SantaFe Cao cấp 2.5L HTRAC,2022,19000,máy xăng 2.5 L,7,1079000000,đen,Xe cũ,Xăng
Mazda,2 1.5 AT,2018,63000,máy xăng 1.5 L,5,380000000,trắng,Xe cũ,Xăng
LandRover,Range Rover Evoque Dynamic,2015,105000,máy xăng 2.0 L,5,750000000,đỏ,Xe cũ,Xăng
Lexus,LX 570 Super Sport,2018,70000,máy xăng 5.7 L,4,6550000000,đen,Xe cũ,Xăng
Volkswagen,Polo 1.6 AT,2018,39000,máy xăng 1.6 L,5,388000000,xám,Xe cũ,Xăng
Mercedes,Benz S class S450L Luxury,2019,43000,máy xăng 3.0 L,5,2639000000,xanh,Xe cũ,Xăng
Mazda,3 1.6 AT,2010,150000,máy xăng 1.6 L,5,258000000,trắng,Xe cũ,Xăng
Toyota,Land Cruiser 3.5 V6,2022,33000,máy xăng 3.4 L,7,4750000000,trắng,Xe cũ,Xăng
Toyota,Fortuner 2.7V 4x4 AT,2014,99266,máy xăng 2.7 L,7,430000000,xám,Xe cũ,Xăng
Hyundai,Elantra 2.0 AT,2021,65000,máy xăng 2.0 L,5,479000000,trắng,Xe cũ,Xăng
Hyundai,Veracruz 3.0 V6,2007,150000,máy dầu 3.0 L,7,355000000,vàng,Xe cũ,Dầu
Kia,Carens 1.5G IVT,2023,32000,máy xăng 1.5 L,7,589000000,trắng,Xe cũ,Xăng
Mitsubishi,Attrage 1.2 CVT,2022,63000,máy xăng 1.2 L,5,349000000,trắng,Xe cũ,Xăng
Mazda,3 1.5L Luxury,2023,26000,máy xăng 1.5 L,5,585000000,đỏ,Xe cũ,Xăng
Mercedes,Benz E class E300 AMG,2020,11000,máy xăng 2.0 L,5,1850000000,trắng,Xe cũ,Xăng
Mercedes,Benz C class C300 AMG,2019,45000,máy xăng 2.0 L,5,1045000000,đen,Xe cũ,Xăng
Lexus,RX 300,2021,2000,máy xăng 2.0 L,5,2888000000,trắng,Xe cũ,Xăng
Toyota,Corolla Cross 1.8V,2021,46000,máy xăng 1.8 L,5,735000000,đỏ,Xe cũ,Xăng
Mazda,3 2.0 AT,2017,52000,máy xăng 2.0 L,5,465000000,đen,Xe cũ,Xăng
Mercedes,Benz C class C200,2016,110000,máy xăng 2.0 L,5,625000000,trắng,Xe cũ,Xăng
Ford,Everest Titanium 2.0L 4x2 AT,2022,37000,máy dầu 2.0 L,7,1000000000,xanh,Xe cũ,Dầu
Suzuki,Swift GLX 1.2 AT,2018,54000,máy xăng 1.2 L,5,412000000,xanh,Xe cũ,Xăng
Honda,HRV L,2021,19000,máy xăng 1.8 L,5,642000000,trắng,Xe cũ,Xăng
Mercedes,Benz E class E200,2011,,máy xăng 1.8 L,5,295000000,đen,Xe cũ,Xăng
Mitsubishi,Xpander 1.5 AT,2019,62000,máy xăng 1.5 L,7,490000000,đen,Xe cũ,Xăng
Audi,A4 1.8 TFSI,2017,47000,máy xăng 1.8 L,5,795000000,trắng,Xe cũ,Xăng
Toyota,Prado VX 2.7L,2020,92000,máy xăng 2.7 L,7,2185000000,đen,Xe cũ,Xăng
Volkswagen,Polo 1.6 AT,2016,,máy xăng 1.6 L,5,299000000,vàng,Xe cũ,Xăng
Lexus,NX 300,2019,,máy xăng 2.0 L,5,1600000000,trắng,Xe cũ,Xăng
Ford,Everest Sport 2.0L 4x2 AT,2023,26000,máy dầu 2.0 L,7,1150000000,trắng,Xe cũ,Dầu
Lexus,RX 300,2020,,máy xăng 2.0 L,5,2790000000,đen,Xe cũ,Xăng
Honda,HRV G,2023,9000,máy xăng 1.5 L,5,668000000,trắng,Xe cũ,Xăng
Lexus,RX 350 AWD,2009,120000,máy xăng 3.5 L,5,695000000,đen,Xe cũ,Xăng
Hyundai,SantaFe 2.2L 4WD,2015,130000,máy dầu 2.2 L,7,563000000,trắng,Xe cũ,Dầu
Mitsubishi,Xpander 1.5 MT,2020,67000,máy xăng 1.5 L,7,396000000,trắng,Xe cũ,Xăng
Hyundai,i20 1.4 AT,2011,80000,máy xăng 1.4 L,5,235000000,đỏ,Xe cũ,Xăng
Toyota,Venza 2.7 AWD,2009,80888,máy xăng 2.7 L,5,415000000,trắng,Xe cũ,Xăng
Volkswagen,Virtus Luxury 1.0 AT,2022,23000,máy xăng 1.0 L,5,630000000,đỏ,Xe cũ,Xăng
Chevrolet,Captiva LT 2.4 MT,2008,,máy xăng 2.4 L,7,158000000,đen,Xe cũ,Xăng
Toyota,Innova 2.0E,2016,125000,máy xăng 2.0 L,8,336000000,bạc,Xe cũ,Xăng
Peugeot,2008 GT Line 1.2 AT,2021,9000,máy xăng 1.2 L,5,715000000,đỏ,Xe cũ,Xăng
Hyundai,SantaFe Cao cấp 2.2L HTRAC,2022,29000,máy dầu 2.2 L,7,1175000000,trắng,Xe cũ,Dầu
Suzuki,XL7 1.5 AT,2022,62000,máy xăng 1.5 L,7,495000000,trắng,Xe cũ,Xăng
LandRover,Range Rover Autobiography 5.0,2013,100000,máy xăng 5.0 L,4,2268000000,trắng,Xe cũ,Xăng
BMW,3 Series 330i M Sport,2024,2345,máy xăng 2.0 L,5,1888000000,đen,Xe cũ,Xăng
Toyota,Fortuner Legender 2.4L 4x2 AT,2022,46000,máy dầu 2.4 L,7,1030000000,đen,Xe cũ,Dầu
LandRover,Discovery Sport HSE Luxury,2015,79000,máy xăng 2.0 L,7,969000000,trắng,Xe cũ,Xăng
Peugeot,5008 Allure 1.6 AT,2020,60000,máy xăng 1.6 L,7,745000000,trắng,Xe cũ,Xăng
Ford,Everest 2.5L 4x2 AT,2014,11000,máy dầu 2.5 L,7,425000000,vàng,Xe cũ,Dầu
VinFast,VF6 Plus,2024,20000,,5,699000000,trắng,Xe cũ,
Mazda,CX3 Deluxe 1.5 AT,2021,47000,máy xăng 1.5 L,5,510000000,đỏ,Xe cũ,Xăng
Porsche,Panamera 3.0 V6,2021,29999,máy xăng 3.0 L,4,5199000000,vàng,Xe cũ,Xăng
Nissan,Navara EL 2.3 AT 2WD,2023,28000,máy dầu 2.3 L,5,589000000,đỏ,Xe cũ,Dầu
Nissan,Murano SL 3.5,2012,,máy xăng 3.5 L,5,465000000,bạc,Xe cũ,Xăng
Mazda,3 1.5 AT,2016,,máy xăng 1.5 L,5,400000000,đen,Xe cũ,Xăng
Mazda,BT50 2.2L 4x4 MT,2016,130000,máy dầu 2.2 L,5,369000000,xám,Xe cũ,Dầu
Mazda,3 1.5 AT,2016,,máy xăng 1.5 L,5,400000000,đen,Xe cũ,Xăng
Mazda,BT50 2.2L 4x4 MT,2016,130000,máy dầu 2.2 L,5,369000000,xám,Xe cũ,Dầu
Mercedes,Benz C class C200 Exclusive,2019,969,máy xăng 2.0 L,5,969000000,đen,Xe cũ,Xăng
Chevrolet,Trailblazer LTZ 2.5L VGT 4x4 AT,2018,,máy dầu 2.5 L,7,609000000,đen,Xe cũ,Dầu
Mercedes,Benz GLC 300 4Matic,2018,90000,máy xăng 2.0 L,5,1150000000,đen,Xe cũ,Xăng
Toyota,Rush 1.5S AT,2021,29000,máy xăng 1.5 L,7,519000000,đen,Xe cũ,Xăng
Toyota,Fortuner 2.4L 4x2 MT,2022,45000,máy dầu 2.4 L,7,899000000,trắng,Xe cũ,Dầu
Toyota,Veloz Cross Top 1.5 CVT,2023,11000,máy xăng 1.5 L,7,610000000,,Xe cũ,Xăng
Honda,CRV L,2022,40000,máy xăng 1.5 L,7,919000000,đỏ,Xe cũ,Xăng
Jaguar,I-Pace SE EV400 AWD,2021,8000,,5,2679000000,xanh,Xe cũ,
Honda,City 1.5 AT,2013,,máy xăng 1.5 L,5,285000000,nâu,Xe cũ,Xăng
Lexus,LX 570 Super Sport,2016,120000,máy xăng 5.7 L,7,4839000000,trắng,Xe cũ,Xăng
Ford,Ranger XLS 2.2L 4x2 AT,2021,51000,máy dầu 2.2 L,5,575000000,trắng,Xe cũ,Dầu
Porsche,Macan 2.0,2022,26000,máy xăng 2.0 L,5,3680000000,đen,Xe cũ,Xăng
Audi,A4 2.0 TFSI,2017,,máy xăng 2.0 L,5,690000000,đen,Xe cũ,Xăng
Mercedes,Benz G class G63 AMG,2020,60000,máy xăng 4.0 L,5,7900000000,xanh,Xe cũ,Xăng
Ford,Ranger Wildtrak 3.2L 4x4 AT,2016,140000,máy dầu 3.2 L,5,528000000,trắng,Xe cũ,Dầu
Honda,CRV 2.4 AT,2015,,máy xăng 2.4 L,5,555000000,trắng,Xe cũ,Xăng
Toyota,Land Cruiser VX 4.6 V8,2014,,máy xăng 4.6 L,8,1990000000,đen,Xe cũ,Xăng
VinFast,Lux A 2.0 Premium 2.0 AT,2019,65000,máy xăng 2.0 L,5,550000000,xám,Xe cũ,Xăng
Toyota,Vios 1.5G CVT,2021,60000,máy xăng 1.5 L,5,480000000,đen,Xe cũ,Xăng
Honda,CRV G,2021,36000,máy xăng 1.5 L,7,835000000,trắng,Xe cũ,Xăng
Mercedes,Benz GLC 200 4Matic,2021,59200,máy xăng 2.0 L,5,1539000000,trắng,Xe cũ,Xăng
Mercedes,Benz C class C250 Exclusive,2016,90000,máy xăng 2.0 L,5,679000000,trắng,Xe cũ,Xăng
Bentley,Flying Spur W12 S,2016,,máy xăng 6.0 L,5,6800000000,đen,Xe cũ,Xăng
Lexus,LS 460L AWD,2010,76000,máy xăng 4.6 L,5,898000000,cát,Xe cũ,Xăng
Mazda,CX5 Deluxe 2.0 AT,2022,50000,máy xăng 2.0 L,5,695000000,trắng,Xe cũ,Xăng
